Region and State,Total,Elementary and Secondary Education,Higher Education,Public Welfare,Public Hospitals,Highways,Police,Other,Population (Thousands)
Connecticut.................................................................................,"10,456","2,855",970,"1,062",818,596,361,"3,795","3,623"
Maine.................................................................................,"10,191","2,279",608,"3,077",358,813,256,"2,799","1,377"
Massachusetts.................................................................................,"13,061","2,775",712,"3,885",587,488,352,"4,262","6,990"
New Hampshire.................................................................................,"9,477","2,380",685,"2,201",211,573,350,"3,076","1,388"
Rhode Island.................................................................................,"11,964","2,583",663,"3,157",805,620,451,"3,670","1,097"
Vermont.................................................................................,"13,678","2,944","1,285","3,195",739,"1,138",437,"3,941",647
Delaware.................................................................................,"12,638","2,300","1,572","3,135",662,800,392,"3,776","1,005"
District of Columbia.................................................................................,"25,061","4,952",251,"7,045","2,449","1,004","1,000","8,360",669
Maryland.................................................................................,"11,714","2,475","1,152","2,736",571,488,510,"3,781","6,175"
New Jersey.................................................................................,"11,267","2,956",711,"2,396",573,468,455,"3,706","9,268"
New York.................................................................................,"15,899","3,817",710,"4,249","1,445",609,539,"4,529","19,857"
Pennsylvania.................................................................................,"11,346","2,540",893,"3,157",940,820,383,"2,604","13,012"
Illinois.................................................................................,"10,991","2,399",789,"2,491",627,708,471,"3,505","12,686"
Indiana.................................................................................,"9,809","1,774",967,"2,674","1,108",562,251,"2,473","6,814"
Michigan.................................................................................,"9,750","2,007",982,"2,106","1,096",583,291,"2,686","10,038"
Ohio.................................................................................,"10,275","2,331",692,"2,976",940,511,333,"2,491","11,764"
Wisconsin.................................................................................,"10,340","2,186","1,020","2,666",808,684,339,"2,638","5,880"
Iowa.................................................................................,"11,477","2,369","1,153","2,401","1,687",984,296,"2,586","3,198"
Kansas.................................................................................,"10,694","2,535","1,131","1,841","1,768",685,391,"2,343","2,938"
Minnesota.................................................................................,"12,010","2,518",891,"3,313",718,992,450,"3,128","5,711"
Missouri.................................................................................,"8,970","1,882",623,"1,788","1,341",466,339,"2,528","6,170"
Nebraska.................................................................................,"10,784","2,707","1,285","1,927",606,959,283,"3,016","1,964"
North Dakota.................................................................................,"13,689","2,616","1,585","2,271",584,"1,740",354,"4,538",778
South Dakota.................................................................................,"9,656","1,995",848,"1,950",364,"1,353",274,"2,873",896
Alabama.................................................................................,"9,366","1,758","1,194","1,588","1,813",505,287,"2,220","5,050"
Arkansas.................................................................................,"9,049","1,882",963,"2,617",663,725,241,"1,958","3,028"
Florida.................................................................................,"8,816","1,503",561,"1,524",945,556,485,"3,243","21,828"
Georgia.................................................................................,"7,971","2,115",591,"1,352",816,478,299,"2,319","10,788"
Kentucky.................................................................................,"10,203","1,755",834,"3,536",953,502,232,"2,391","4,507"
Louisiana.................................................................................,"10,626","1,892",873,"3,161",890,512,345,"2,867","4,627"
Mississippi.................................................................................,"9,571","1,752","1,007","2,247","1,639",633,268,"2,025","2,950"
North Carolina.................................................................................,"9,294","1,622","1,007","1,844","1,748",498,359,"2,216","10,566"
South Carolina.................................................................................,"9,587","1,989",899,"1,722","1,915",425,272,"2,365","5,193"
Tennessee.................................................................................,"8,062","1,551",569,"1,968",962,392,331,"2,289","6,968"
Virginia.................................................................................,"10,501","2,210","1,020","2,273",951,796,336,"2,915","8,657"
West Virginia.................................................................................,"10,313","1,878",981,"3,053",532,979,263,"2,628","1,786"
Arizona.................................................................................,"8,716","1,381",960,"2,881",343,405,399,"2,347","7,265"
New Mexico.................................................................................,"12,505","1,947","1,291","3,953","1,169",597,355,"3,193","2,117"
Oklahoma.................................................................................,"8,571","1,760",967,"1,873",796,766,296,"2,101","3,991"
Texas.................................................................................,"9,579","2,218","1,082","1,741","1,272",659,333,"2,275","29,559"
Colorado.................................................................................,"11,096","2,195","1,044","2,047",880,620,420,"3,889","5,811"
Idaho.................................................................................,"8,067","1,404",640,"1,977",685,682,281,"2,397","1,904"
Montana.................................................................................,"9,981","1,993",908,"2,503",551,913,338,"2,774","1,106"
Utah.................................................................................,"10,539","1,920","1,718","1,639","1,335",758,267,"2,903","3,339"
Wyoming.................................................................................,"17,193","3,193","1,665","1,577","3,404","1,281",383,"5,672",579
California.................................................................................,"14,755","2,527","1,332","3,870","1,742",607,636,"3,971","39,143"
Nevada.................................................................................,"8,284","1,664",553,"1,541",643,669,466,"2,744","3,146"
Oregon.................................................................................,"13,497","2,337","1,222","3,373","1,293",630,388,"4,254","4,256"
Washington.................................................................................,"11,964","2,649",994,"2,035","1,703",638,347,"3,597","7,741"
Alaska.................................................................................,"18,719","3,448",864,"3,615","1,504","1,775",552,"6,961",734
Hawaii.................................................................................,"12,307","1,556",851,"2,511",891,673,400,"5,424","1,447"